Question_Entity,Question,ans_tfIdf,exe_time_tfIdf,ans_w2v,exe_time_w2v
Drink_and_snacks,Which sweet made of sesame seeds and jaggery ?,Maharashtra. Tilgul sweet made of sesame seeds and jaggery is specially prepared in Maharashtra during the festival of Makar Sankranti.,0.011987686157226562,"bihar. During the festival of Chhath, thekua, a sweet dish made of ghee, jaggery, and whole-meal flour, flavoured with aniseed, is made.",0.015145301818847656
Drink_and_snacks,Which Bengali sweet consists of paneer balls dipped in sugar syrup ?,west bengal. Rasgulla consists of paneer balls dipped in sugar syrup.,0.013121843338012695,"bihar. Another notable sweet dish of Bihar is balushahi, which is prepared by a specially treated combination of maida and sugar along with ghee, and the other worldwide famous sweet, khaja, also very popular, is made from flour, vegetable fat, and sugar, which is mainly used in weddings and other occasions.",0.017570972442626953
Drink_and_snacks,What generally concludes a meal in Assam ?,"assam. Paan, the practice of chewing betel nut, generally concludes a meal.",0.01293492317199707,"assam. A traditional meal in Assam begins with a khar, a class of dishes named after the main ingredient and ends with a tenga, a sour dish.",0.018434524536132812
Drink_and_snacks,Which version of rasgullais most famous in West Bengal?,"west bengal. The ""Jaggery Rasgullas"" are even more famous.",0.05761218070983887,"west bengal. The cuisine is known for subtle flavours with an emphasis on fish, meat, vegetables, lentils, and rice.",0.014431476593017578
Drink_and_snacks,Which soup is common among the Monpa tribe of the region?,arunachal pradesh. Thukpa is a kind of noodle soup common among the Monpa tribe of the region.,0.012999296188354492,arunachal pradesh. Thukpa is a kind of noodle soup common among the Monpa tribe of the region.,0.06151986122131348
Drink_and_snacks,Which beverage in Arunachal Pradesh is consumed as a refreshing drink ?,arunachal pradesh. Apong or rice beer made from fermented rice or millet is a popular beverage in Arunachal Pradesh and is consumed as a refreshing drink.,0.012497663497924805,Non-alcoholic beverages. Lassi is a traditional dahi (yogurt)-based drink in India.,0.016148805618286133
Drink_and_snacks,What is the popular sweet dish of Bihar ?,bihar. Dalpuri is another popular dish in Bihar.,0.011439323425292969,"bihar. Malpua is a popular sweet dish of Bihar, prepared by a mixture of maida, milk, bananas, cashew nuts, peanuts, raisins, sugar, water, and green cardamom.",0.013505220413208008
Drink_and_snacks,Which appetizer drink is made from kokam and coconut milk ?,Malwani. Sole kadi made from kokam and coconut milk is a signature appetizer drink .,0.011356353759765625,Malwani. Sole kadi made from kokam and coconut milk is a signature appetizer drink .,0.013047933578491211
Drink_and_snacks,Which liquor many Chhattisgarhi people drink ?,chhattisgarh. Many Chhattisgarhi people drink liquor brewed from the mahuwa flower palm wine (tadi in rural areas).,0.011508703231811523,chhattisgarh. Many Chhattisgarhi people drink liquor brewed from the mahuwa flower palm wine (tadi in rural areas).,0.013408899307250977
Drink_and_snacks,What is the other name of flattened rice usually eaten at breakfast and snacking in Maharashtra ?,Maharashtra. Poha or flattened rice is also usually eaten at breakfast.,0.01279449462890625,Maharashtra. Poha or flattened rice is also usually eaten at breakfast.,0.01667475700378418
Drink_and_snacks,what is the other name of panipuri ?,Chandigarh. Popular snacks include gol gappa (known as panipuri in other places).,0.05701732635498047,Chandigarh. Popular snacks include gol gappa (known as panipuri in other places).,0.013643264770507812
Drink_and_snacks,"What consists of a round, hollow puri, fried crisp and filled with a mixture of flavoured water ?","Chandigarh. It consists of a round, hollow puri, fried crisp and filled with a mixture of flavoured water, boiled and cubed potatoes, bengal gram beans, etc.",0.014331340789794922,"Non-alcoholic beverages. [159] It can be served in concentrate form and eaten with a spoon, or diluted with water to create a drink.",0.06227231025695801
Drink_and_snacks,Nalanda is famous for the production of which sweet ?,bihar. Silav near Nalanda is famous for its production.,0.011150121688842773,"bihar. During the festival of Chhath, thekua, a sweet dish made of ghee, jaggery, and whole-meal flour, flavoured with aniseed, is made.",0.012688875198364258
Drink_and_snacks,"Which haluva is the  other name of ""sweetmeat"" given by Europeans ?","Kerala. However, karutha haluva (black haluva) made from rice is also very popular.",0.013498544692993164,"Kerala. However, karutha haluva (black haluva) made from rice is also very popular.",0.02038431167602539
Main_course,what is the name of stir-fried vegetables with coconut ?,"Gujarat. The sabzi is a dish of different combinations of vegetables and spices which may be stir fried, spicy or sweet.",0.011631488800048828,Lakshadweep. Coconut and sea fish serve as the foundations of most of the meals.,0.012454509735107422
Main_course,What is the version of Bread that is popular in West Bengal ?,"west bengal. Bread is not a common dish in Bengali cuisine, but a deep fried version called luchi is popular.",0.011607646942138672,west bengal. The rasgulla originated in Bengal and later became popular in erstwhile Odisha.,0.014043569564819336
Main_course,What is the most common vegetable of Arunachal Pradesh ?,"arunachal pradesh. Lettuce is the most common vegetable, usually prepared by boiling with ginger, coriander, and green chillies.",0.010841131210327148,"arunachal pradesh. Lettuce is the most common vegetable, usually prepared by boiling with ginger, coriander, and green chillies.",0.012044429779052734
Main_course,What is the staple food item of Assam ?,"assam. Rice is the staple food item and a huge variety of endemic rice varieties, including several varieties of sticky rice are a part of the cuisine in Assam.",0.06529450416564941,"west bengal. Bengali cuisine can be subdivided into four different types of dishes, charbya , or food that is chewed, such as rice or fish; choáąŁya, or food that is sucked, such as ambal and tak; lehya , or foods that are meant to be licked, like chuttney; and peya, which includes drinks, mainly milk.",0.015080451965332031
Main_course,Which dish is a widely eaten vegetarian dish in kerala ?,Kerala. Avial is a widely eaten vegetarian dish in the state and plays a major role in sadya.,0.015645265579223633,Kerala. Avial is a widely eaten vegetarian dish in the state and plays a major role in sadya.,0.06502676010131836
Main_course,"Which biryani is the only biryani variant, which is of Kerala origin ?","Kerala. Thalassery biryani is the only biryani variant, which is of Kerala origin having originated in Talassery, in Malabar region.",0.01316976547241211,"Kerala. Thalassery biryani is the only biryani variant, which is of Kerala origin having originated in Talassery, in Malabar region.",0.018553972244262695
Main_course,What is the most popular manipuri dish ?,Manipur. Cooked and fermented soybean is a popular condiment in all manipuri kitchens.,0.011800765991210938,"Manipur. The most popular manipuri dish is the Eromba, it's a preparation of boiled and mashed vegetables, often including potatoes or beans, mixed with chilli and roasted fermented fish.",0.014688491821289062
Main_course,The coastal Karnataka specialises in which type of food ?,"Karnataka. The Kodagu district is known for spicy pork curries, while coastal Karnataka specialises in seafood.",0.01201319694519043,"Karnataka. It is very common for the food to be served on a banana leaf, especially during festivals and functions.",0.013870477676391602
Main_course,What is the base for most of the curries in Lakshdweep ?,Lakshadweep. Coconut milk is the base for most of the curries.,0.011100292205810547,Lakshadweep. Coconut milk is the base for most of the curries.,0.012222766876220703
Main_course,"The word ""curry"" is derived from which Tamil word ?","Tamil Nadu. The word ""curry"" is derived from the Tamil kari, meaning something similar to ""sauce"".",0.013768911361694336,"Tamil Nadu. The word ""curry"" is derived from the Tamil kari, meaning something similar to ""sauce"".",0.019417524337768555
Main_course,Which meal is eaten with daal and ladoos in Madhya Pradesh ?,"Madhya Pradesh. Dal bafla is a common meal in the region and can be easily found in Indore and other nearby regions, consisting of a steamed and grilled wheat cake dunked in rich ghee, which is eaten with daal and ladoos.",0.05752897262573242,"Madhya Pradesh. Dal bafla is a common meal in the region and can be easily found in Indore and other nearby regions, consisting of a steamed and grilled wheat cake dunked in rich ghee, which is eaten with daal and ladoos.",0.013280630111694336
Main_course,What is the the most popular tamarind stews in Tamil Nadu ?,"Tamil Nadu. Steamed rice is the main dish, and is always accompanied by a seasonally steamed/sauteed vegetable (poriyal), and two or three types of tamarind stews, the most popular being sambhar and rasam.",0.015993118286132812,"Tamil Nadu. Steamed rice is the main dish, and is always accompanied by a seasonally steamed/sauteed vegetable (poriyal), and two or three types of tamarind stews, the most popular being sambhar and rasam.",0.019054651260375977
Main_course,What does food like chuttney that are meant to be licked in West Bengal ?,"west bengal. Bengali cuisine can be subdivided into four different types of dishes, charbya , or food that is chewed, such as rice or fish; choáąŁya, or food that is sucked, such as ambal and tak; lehya , or foods that are meant to be licked, like chuttney; and peya, which includes drinks, mainly milk.",0.013041496276855469,"west bengal. Bengali cuisine can be subdivided into four different types of dishes, charbya , or food that is chewed, such as rice or fish; choáąŁya, or food that is sucked, such as ambal and tak; lehya , or foods that are meant to be licked, like chuttney; and peya, which includes drinks, mainly milk.",0.06161975860595703
Main_course,Which state's cuisine is divided into 5 part ?,"Karnataka. Karnataka cuisine can be very broadly divided into: 1) Mysore/Bangalore cuisine, 2) North Karnataka cuisine, 3) Udupi cuisine, 4) Kodagu/Coorg cuisine, and 5) Karavali/coastal cuisine.",0.011635065078735352,"andhra pradesh. Pickles are an essential part of the local cuisine; popular among those are mango-based pickles such as avakaya and maagaya, gongura (a pickle made from Kenaf leaves), usirikaya (gooseberry or amla), nimmakaya (lime), and tomato pickle.",0.013231039047241211
Main_course,"Which Indian cuisines is very similar to Central Asia, Siberia and Micronesia ?","Manipur. They are however very similar to the cuisines of Southeast/East/Central Asia, Siberia, Micronesia and Polynesia.",0.018574953079223633,"Manipur. Another popular dish is the savory cake called Paknam, made of a base of lentil flour stuffed with various ingredients such as banana inflorescence, mushrooms, fish, vegetables etc., and baked covered in turmeric leaves.",0.01606297492980957
Main_course,Bengali cuisine has been subdivided into how many types ?,"west bengal. Bengali cuisine can be subdivided into four different types of dishes, charbya , or food that is chewed, such as rice or fish; choáąŁya, or food that is sucked, such as ambal and tak; lehya , or foods that are meant to be licked, like chuttney; and peya, which includes drinks, mainly milk.",0.01798105239868164,"west bengal. Fish, rice, milk, and sugar all play crucial parts in Bengali cuisine.",0.0185244083404541
Region,"Which state's food is known for its heavy use of spices, and the use of tamarind ?","andhra pradesh. The food of Andhra Pradesh is known for its heavy use of spices, and the use of tamarind.",0.016680479049682617,"andhra pradesh. The food of Andhra Pradesh is known for its heavy use of spices, and the use of tamarind.",0.014629602432250977
Region,"Which states staple food is rice, along with fish, meat, and leaf vegetables?","arunachal pradesh. The staple food of Arunachal Pradesh is rice, along with fish, meat, and leaf vegetables.",0.01423954963684082,"arunachal pradesh. The staple food of Arunachal Pradesh is rice, along with fish, meat, and leaf vegetables.",0.012376785278320312
Region,Thukpa noodle soup is common in which region?,arunachal pradesh. Thukpa is a kind of noodle soup common among the Monpa tribe of the region.,0.07480549812316895,arunachal pradesh. Thukpa is a kind of noodle soup common among the Monpa tribe of the region.,0.01421356201171875
Region,Where is luchi popular ?,"west bengal. Bread is not a common dish in Bengali cuisine, but a deep fried version called luchi is popular.",0.018442869186401367,bihar. Dalpuri is another popular dish in Bihar.,0.06146693229675293
Region,Where was rasgulla originated ?,west bengal. The rasgulla originated in Bengal and later became popular in erstwhile Odisha.,0.01530003547668457,west bengal. Rasgulla consists of paneer balls dipped in sugar syrup.,0.014887094497680664
Region,"Duck, squab, snails are common in which region ?","assam. Other nonvegetarian items include chicken, duck, squab, snails, silkworms, insects, goat, pork, venison, turtle, monitor lizard, etc.",0.016922950744628906,"assam. Bhuna, the gentle frying of spices before the addition of the main ingredients, generally common in Indian cooking, is absent in the cuisine of Assam.",0.012578248977661133
Region,Which state's salad dish is called singju ?,"Manipur. The manipuri salad dish called singju, made of finely julienned cabbage, green papaya, and other vegetables, and garnished with local herbs, toasted sesame powder and lentil flour is extremely popular locally, and often found sold in small street side vendors.",0.017080068588256836,"Manipur. The manipuri salad dish called singju, made of finely julienned cabbage, green papaya, and other vegetables, and garnished with local herbs, toasted sesame powder and lentil flour is extremely popular locally, and often found sold in small street side vendors.",0.017795801162719727
Region,Where is the birthplace of Mughlai cuisine ?,"delhi. Delhi was once the capital of the Mughal empire, and it became the birthplace of Mughlai cuisine.",0.01829671859741211,Uttar Pradesh. A Mughlai course is an elaborate buffet of main course dishes with a variety of accompaniments.,0.013933420181274414
Region,momo dumplings is common food in which part of India ?,"Meghalaya. Other common foods in Meghalaya include minil songa (steamed sticky rice), sakkin gata, and momo dumplings.",0.012942790985107422,"Sikkim. Rice is the staple food of the area, and meat and dairy products are also widely consumed.",0.012211322784423828
Region,The Pathanamthitta region is known for which type of curries ?,"Malwani. These rice breads can be eaten specially flavored with coconut milk, fish curries, and chicken or mutton curries.",0.060628414154052734,"Malwani. All these fish are available in dried form, including prawns, which are known as sode.",0.01343846321105957
Region,Which States cuisine is also found in the state of Tripura and the Barak Valley of Assam ?,west bengal. The cuisine is also found in the state of Tripura and the Barak Valley of Assam.,0.01550912857055664,west bengal. The cuisine is also found in the state of Tripura and the Barak Valley of Assam.,0.016017913818359375
Region,Popular snacks like Samosa and pakora originate in which state ?,"Uttar Pradesh. Chaat, samosa, and pakora, among the most popular snacks in India, originate from Uttar Pradesh.",0.012306928634643555,"Chandigarh. People enjoy home-made recipes such as parantha, especially at breakfast, and other Punjabi foods like roti which is made from wheat, corn, or other glutenous flour with cooked vegetables or beans.",0.05860710144042969
Region,Which states cuisine resembles the cuisine of Gujarat ?,Dadra and Nagar Haveli. The local cuisine resembles the cuisine of Gujarat.,0.011534690856933594,"Gujarat. North Gujarat, Kathiawad, Kachchh, and South Gujarat are the four major regions of Gujarati cuisine.",0.01322317123413086
Region,Which state's cuisine use bamboo shoots as flavourful ingredients ?,"Nagaland. It is known for exotic pork meats cooked with simple and flavourful ingredients, like the extremely hot Bhut jolokia pepper, fermented bamboo shoots and akhuni or fermented soya beans.",0.011299848556518555,"chhattisgarh. The tribal people of the Bastar region of Chhattisgarh eat ancestral dishes such as mushrooms, bamboo pickle, bamboo vegetables, etc.",0.012291908264160156
Region,Which city is polpularly known for its Nawabi foods ?,Uttar Pradesh. The city is also known for its Nawabi foods.,0.011770248413085938,Uttar Pradesh. The city is also known for its Nawabi foods.,0.014615297317504883
Ingredients,Which ingredients Apong or rice beer made from ?,arunachal pradesh. Apong or rice beer made from fermented rice or millet is a popular beverage in Arunachal Pradesh and is consumed as a refreshing drink.,0.010910511016845703,arunachal pradesh. Apong or rice beer made from fermented rice or millet is a popular beverage in Arunachal Pradesh and is consumed as a refreshing drink.,0.01102304458618164
Ingredients,what are the constituents of litti chokha ?,"jharkhand. Famous dishes include Chirka roti, Pittha, Malpua, Dhuska, Arsa roti and Litti Chokha.",0.010757684707641602,"jharkhand. Famous dishes include Chirka roti, Pittha, Malpua, Dhuska, Arsa roti and Litti Chokha.",0.012134790420532227
Ingredients,What is The most notable ingredient in Kashmiri cuisine ?,"Jammu and Kashmir. The most notable ingredient in Kashmiri cuisine is mutton, of which over 30 varieties are known.",0.05694437026977539,Jammu and Kashmir. Kashmiri cuisine has evolved over hundreds of years.,0.014987707138061523
Ingredients,Mahua daru made from which flowers ?,"jharkhand. Local alcoholic drinks include Handia a rice beer and Mahua daru, made from flowers of the ""Mahua"" tree (Madhuca longifolia).",0.013164281845092773,"jharkhand. Local alcoholic drinks include Handia a rice beer and Mahua daru, made from flowers of the ""Mahua"" tree (Madhuca longifolia).",0.056391000747680664
Ingredients,What are the ingredient of popular dish is bai in Mizoram ?,"Mizoram. A popular dish is bai, made from boiling vegetables (spinach, eggplant, beans, and other leafy vegetables) with bekang fermented soya beans or Sa-um, a fermented pork and served with rice.",0.01573348045349121,"Odisha. Pakhala, a dish made of rice, water, and dahi (yogurt), that is fermented overnight, is very popular in summer in rural areas.",0.01667189598083496
Ingredients,garam masala and turmeric are commonly used for which type of curries ?,"Odisha. Panch phutana, a mix of cumin, mustard, fennel, fenugreek and kalonji (nigella), is widely used for flavouring vegetables and dals, while garam masala and turmeric are commonly used for meat-based curries.",0.01675128936767578,"Punjab. The masala in a Punjabi dish traditionally consists of onion, garlic, ginger, cumin, garam masala, salt, turmeric, tomatoes sauteed in mustard oil.",0.018491506576538086
Ingredients,"What are the side dishes popular in Tamil Nadu  that are eaten with Dosa, idli, pongal and Biryani?","Tamil Nadu. Dosa, idli, pongal and Biryani are some of the popular dishes that are eaten with chutney and sambar.",0.018553495407104492,"Tamil Nadu. Dosa, idli, pongal and Biryani are some of the popular dishes that are eaten with chutney and sambar.",0.02025437355041504
Ingredients,What is the tradition of finishing the meal in Tamil Nadu due to spicy food ?,Tamil Nadu. Tamil food tends to be spicy compared to other parts of India so there is a tradition of finishing the meal with dahi (yogurt) is considered a soothing end to the meal.,0.018504619598388672,Tamil Nadu. Tamil food tends to be spicy compared to other parts of India so there is a tradition of finishing the meal with dahi (yogurt) is considered a soothing end to the meal.,0.021910905838012695
Ingredients,What is the other name of soya beans  in Mizoram,"Mizoram. A popular dish is bai, made from boiling vegetables (spinach, eggplant, beans, and other leafy vegetables) with bekang fermented soya beans or Sa-um, a fermented pork and served with rice.",0.013417959213256836,"Mizoram. A popular dish is bai, made from boiling vegetables (spinach, eggplant, beans, and other leafy vegetables) with bekang fermented soya beans or Sa-um, a fermented pork and served with rice.",0.012937307357788086
Ingredients,"Dahi, lassi, paneer,  etc. are drived from which product ?",Non-alcoholic beverages. Lassi is a traditional dahi (yogurt)-based drink in India.,0.07533073425292969,Non-alcoholic beverages. [158]  Sharbat is a sweet cold beverage prepared from fruits or flower petals.,0.019844770431518555
Ingredients,Uttar Pradeshi cuisine consists of which two type of cuisine ?,"Uttar Pradesh. Traditionally, Uttar Pradeshi cuisine consists of Awadhi and Mughlai cuisine, though a vast majority of the state is vegetarian, preferring dal, roti, sabzi, and rice.",0.020939111709594727,"Uttar Pradesh. Traditionally, Uttar Pradeshi cuisine consists of Awadhi and Mughlai cuisine, though a vast majority of the state is vegetarian, preferring dal, roti, sabzi, and rice.",0.06709980964660645
Ingredients,"What is a common addition to meals, as a way of tempering spiciness in Telugu food?","Telangana. Dahi (yogurt) is a common addition to meals, as a way of tempering spiciness.",0.019084930419921875,"Telangana. Dahi (yogurt) is a common addition to meals, as a way of tempering spiciness.",0.01900482177734375
Ingredients,Bhaat is other name of which popular India dish ? ,"Non-alcoholic beverages. Coffee is another popular beverage, but more popular in South India.",0.018022775650024414,"Mizoram. A popular dish is bai, made from boiling vegetables (spinach, eggplant, beans, and other leafy vegetables) with bekang fermented soya beans or Sa-um, a fermented pork and served with rice.",0.014597177505493164
Community_and_religion,in which festival thekua is made ?,"bihar. During the festival of Chhath, thekua, a sweet dish made of ghee, jaggery, and whole-meal flour, flavoured with aniseed, is made.",0.011472702026367188,"bihar. During the festival of Chhath, thekua, a sweet dish made of ghee, jaggery, and whole-meal flour, flavoured with aniseed, is made.",0.011170387268066406
Community_and_religion,Garam masala is used less in which season ?,"Gujarat. For example, garam masala is used much less in summer.",0.013366937637329102,"Gujarat. For example, garam masala is used much less in summer.",0.01698780059814453
Community_and_religion,In which type of families Kerala are famed for their traditional karutha haluva ?,Kerala. Many Muslim families in the region are famed for their traditional karutha haluva.,0.013470649719238281,"Kerala. Traditional food of Kerala Hindus is vegetarian, with regional exceptions such as the food of the Malabar area.",0.018799543380737305
Community_and_religion,Appam along with wine is popular in which community ?,Kerala. Appam along with wine and curries of cured beef and pork are popular among Syrian Christians in Central Kerala.,0.0614013671875,Kerala. Appam along with wine and curries of cured beef and pork are popular among Syrian Christians in Central Kerala.,0.01817631721496582
Community_and_religion,In which festival Tilgul sweet is prepared in Maharashtra ?,Maharashtra. Tilgul sweet made of sesame seeds and jaggery is specially prepared in Maharashtra during the festival of Makar Sankranti.,0.014780759811401367,Maharashtra. Tilgul sweet made of sesame seeds and jaggery is specially prepared in Maharashtra during the festival of Makar Sankranti.,0.062029361724853516
Community_and_religion,Meitei people represented which state's cuisine ?,Manipur. Manipuri cuisine is represented by the cuisine of the Meitei people who form the majority population in the central plain.,0.011685609817504883,"Manipur. Meitei food are simple, tasty, organic and healthy.",0.013630867004394531
Community_and_religion,Most popular elements of Anglo-Indian cuisine are drived from which community ?,"Indian Chinese. [147] Upon exposure to local Indian cuisine, they incorporated many spices and cooking techniques into their own cuisine, thus creating a unique fusion of Indian and Chinese cuisine.",0.011881113052368164,"Indian Chinese. [149]  Popular dishes include Chicken Manchurian, Chicken lollipop, Chilli chicken, Hakka noodles, Hunan chicken, Chow mein, and Szechwan fried rice.",0.013530731201171875
Community_and_religion,Rajasthan food is influenced by the which community ?,Rajasthan. Rajasthan is also influenced by the Rajput community who have liking for meat dishes.,0.011361837387084961,delhi. This is apparent in the different types of street food available.,0.012478113174438477
Community_and_religion,In which leaf the food is surved during the traditional way of eating a meal in Tamil Nadu ?,"Tamil Nadu. The traditional way of eating a meal involves being seated on the floor, having the food served on a plantain leaf, and using the right hand to eat.",0.012819290161132812,Tamil Nadu. After the meal the plantain leaf is discarded but becomes food for free-ranging cattle and goats.,0.016144514083862305
Community_and_religion,What is the main constituent of Rajput community diet ?,Rajasthan. Rajasthan is also influenced by the Rajput community who have liking for meat dishes.,0.01081705093383789,"Himachal Pradesh. The daily diet of Himachal people is similar to that of the rest of North India, including lentils, broth, rice, vegetables, and bread, although nonvegetarian cuisine is preferred.",0.011543035507202148
Community_and_religion,Uttar Pradeshi cuisine cooking style was developed by which Empire ?,Uttar Pradesh. Mughlai cuisine is a style of cooking developed in the Indian subcontinent by the imperial kitchens of the Mughal Empire.,0.07274913787841797,"Uttar Pradesh. Traditionally, Uttar Pradeshi cuisine consists of Awadhi and Mughlai cuisine, though a vast majority of the state is vegetarian, preferring dal, roti, sabzi, and rice.",0.015790224075317383
